name,area,area2,technology,qualifier,build_year,retire_year,cumulative,nom
CZ PL electricity import AC 2020,CZ,PL,electricity import AC,,2020,2020,TRUE,1280.0
CZ PL electricity import AC 2021,CZ,PL,electricity import AC,,2021,2021,TRUE,1280.0
CZ PL electricity import AC 2022,CZ,PL,electricity import AC,,2022,2022,TRUE,1280.0
CZ PL electricity import AC 2023,CZ,PL,electricity import AC,,2023,2023,TRUE,1280.0
CZ PL electricity import AC 2025,CZ,PL,electricity import AC,,2025,2025,TRUE,1280.0
CZ PL electricity import AC 2030,CZ,PL,electricity import AC,,2030,2030,TRUE,1280.0
CZ PL electricity import AC 2035,CZ,PL,electricity import AC,,2035,2035,TRUE,1280.0
CZ PL electricity import AC 2040,CZ,PL,electricity import AC,,2040,2040,TRUE,1280.0
CZ PL electricity import AC 2045,CZ,PL,electricity import AC,,2045,2045,TRUE,1280.0
CZ PL electricity import AC 2050,CZ,PL,electricity import AC,,2050,2050,TRUE,1280.0
DE PL electricity import AC 2020,DE,PL,electricity import AC,,2020,2020,TRUE,2340.0
DE PL electricity import AC 2021,DE,PL,electricity import AC,,2021,2021,TRUE,2340.0
DE PL electricity import AC 2022,DE,PL,electricity import AC,,2022,2022,TRUE,2340.0
DE PL electricity import AC 2023,DE,PL,electricity import AC,,2023,2023,TRUE,2340.0
DE PL electricity import AC 2025,DE,PL,electricity import AC,,2025,2025,TRUE,2340.0
DE PL electricity import AC 2030,DE,PL,electricity import AC,,2030,2030,TRUE,3120.0
DE PL electricity import AC 2035,DE,PL,electricity import AC,,2035,2035,TRUE,3120.0
DE PL electricity import AC 2040,DE,PL,electricity import AC,,2040,2040,TRUE,3120.0
DE PL electricity import AC 2045,DE,PL,electricity import AC,,2045,2045,TRUE,3120.0
DE PL electricity import AC 2050,DE,PL,electricity import AC,,2050,2050,TRUE,3120.0
LT PL electricity import AC 2025,LT,PL,electricity import AC,,2025,2025,TRUE,1000.0
LT PL electricity import AC 2030,LT,PL,electricity import AC,,2030,2030,TRUE,1000.0
LT PL electricity import AC 2035,LT,PL,electricity import AC,,2035,2035,TRUE,1000.0
LT PL electricity import AC 2040,LT,PL,electricity import AC,,2040,2040,TRUE,1000.0
LT PL electricity import AC 2045,LT,PL,electricity import AC,,2045,2045,TRUE,1000.0
LT PL electricity import AC 2050,LT,PL,electricity import AC,,2050,2050,TRUE,1000.0
LT PL electricity import DC 2020,LT,PL,electricity import DC,,2020,2020,TRUE,500.0
LT PL electricity import DC 2021,LT,PL,electricity import DC,,2021,2021,TRUE,500.0
LT PL electricity import DC 2022,LT,PL,electricity import DC,,2022,2022,TRUE,500.0
LT PL electricity import DC 2023,LT,PL,electricity import DC,,2023,2023,TRUE,500.0
LT PL electricity import DC 2030,LT,PL,electricity import DC,,2030,2030,TRUE,700.0
LT PL electricity import DC 2035,LT,PL,electricity import DC,,2035,2035,TRUE,700.0
LT PL electricity import DC 2040,LT,PL,electricity import DC,,2040,2040,TRUE,700.0
LT PL electricity import DC 2045,LT,PL,electricity import DC,,2045,2045,TRUE,700.0
LT PL electricity import DC 2050,LT,PL,electricity import DC,,2050,2050,TRUE,700.0
PL battery large charger 2021,PL,,battery large charger,,2021,2021,TRUE,50.0
PL battery large charger 2022,PL,,battery large charger,,2022,2022,TRUE,90.0
PL battery large charger 2023,PL,,battery large charger,,2023,2023,TRUE,140.0
PL battery large power 2021,PL,,battery large power,,2021,2021,TRUE,50.0
PL battery large power 2022,PL,,battery large power,,2022,2022,TRUE,100.0
PL battery large power 2023,PL,,battery large power,,2023,2023,TRUE,150.0
PL battery large storage 2021,PL,,battery large storage,,2021,2021,TRUE,200.0
PL battery large storage 2022,PL,,battery large storage,,2022,2022,TRUE,400.0
PL battery large storage 2023,PL,,battery large storage,,2023,2023,TRUE,600.0
PL BEV battery 2020,PL,,BEV battery,,2020,2020,TRUE,620.0
PL BEV battery 2021,PL,,BEV battery,,2021,2021,TRUE,1060.0
PL BEV battery 2022,PL,,BEV battery,,2022,2022,TRUE,1760.0
PL BEV battery 2023,PL,,BEV battery,,2023,2023,TRUE,1760.0
PL BEV charger 2020,PL,,BEV charger,,2020,2020,TRUE,130.0
PL BEV charger 2021,PL,,BEV charger,,2021,2021,TRUE,220.0
PL BEV charger 2022,PL,,BEV charger,,2022,2022,TRUE,360.0
PL BEV charger 2023,PL,,BEV charger,,2023,2023,TRUE,360.0
PL BEV to BEV bus 2020,PL,,BEV,to BEV bus,2020,2020,TRUE,130.0
PL BEV to BEV bus 2021,PL,,BEV,to BEV bus,2021,2021,TRUE,220.0
PL BEV to BEV bus 2022,PL,,BEV,to BEV bus,2022,2022,TRUE,360.0
PL BEV to BEV bus 2023,PL,,BEV,to BEV bus,2023,2023,TRUE,360.0
PL BEV V2G 2020,PL,,BEV V2G,,2020,2020,TRUE,140.0
PL BEV V2G 2021,PL,,BEV V2G,,2021,2021,TRUE,240.0
PL BEV V2G 2022,PL,,BEV V2G,,2022,2022,TRUE,400.0
PL BEV V2G 2023,PL,,BEV V2G,,2023,2023,TRUE,400.0
PL biogas CHP industrial 2020,PL,,biogas CHP,industrial,2020,2020,TRUE,60.0
PL biogas CHP industrial 2021,PL,,biogas CHP,industrial,2021,2021,TRUE,60.0
PL biogas CHP industrial 2022,PL,,biogas CHP,industrial,2022,2022,TRUE,70.0
PL biogas CHP industrial 2023,PL,,biogas CHP,industrial,2023,2023,TRUE,70.0
PL biogas CHP public 2020,PL,,biogas CHP,public,2020,2020,TRUE,180.0
PL biogas CHP public 2021,PL,,biogas CHP,public,2021,2021,TRUE,190.0
PL biogas CHP public 2022,PL,,biogas CHP,public,2022,2022,TRUE,200.0
PL biogas CHP public 2023,PL,,biogas CHP,public,2023,2023,TRUE,210.0
PL biogas production industrial 2020,PL,,biogas production,industrial,2020,2020,TRUE,150.0
PL biogas production industrial 2021,PL,,biogas production,industrial,2021,2021,TRUE,150.0
PL biogas production industrial 2022,PL,,biogas production,industrial,2022,2022,TRUE,180.0
PL biogas production industrial 2023,PL,,biogas production,industrial,2023,2023,TRUE,180.0
PL biogas production public 2020,PL,,biogas production,public,2020,2020,TRUE,440.0
PL biogas production public 2021,PL,,biogas production,public,2021,2021,TRUE,470.0
PL biogas production public 2022,PL,,biogas production,public,2022,2022,TRUE,490.0
PL biogas production public 2023,PL,,biogas production,public,2023,2023,TRUE,520.0
PL biogas substrate supply 2020,PL,,biogas substrate supply,,2020,2020,TRUE,inf
PL biogas substrate supply 2021,PL,,biogas substrate supply,,2021,2021,TRUE,inf
PL biogas substrate supply 2022,PL,,biogas substrate supply,,2022,2022,TRUE,inf
PL biogas substrate supply 2023,PL,,biogas substrate supply,,2023,2023,TRUE,inf
PL biomass wood boiler to biomass bus 2020,PL,,biomass wood boiler,to biomass bus,2020,2020,TRUE,24570.0
PL biomass wood boiler to biomass bus 2021,PL,,biomass wood boiler,to biomass bus,2021,2021,TRUE,25190.0
PL biomass wood boiler to biomass bus 2022,PL,,biomass wood boiler,to biomass bus,2022,2022,TRUE,24700.0
PL biomass wood boiler to biomass bus 2023,PL,,biomass wood boiler,to biomass bus,2023,2023,TRUE,24700.0
PL biomass wood CHP industrial 2020,PL,,biomass wood CHP,industrial,2020,2020,TRUE,190.0
PL biomass wood CHP industrial 2021,PL,,biomass wood CHP,industrial,2021,2021,TRUE,190.0
PL biomass wood CHP industrial 2022,PL,,biomass wood CHP,industrial,2022,2022,TRUE,200.0
PL biomass wood CHP industrial 2023,PL,,biomass wood CHP,industrial,2023,2023,TRUE,200.0
PL biomass wood CHP public 2020,PL,,biomass wood CHP,public,2020,2020,TRUE,260.0
PL biomass wood CHP public 2021,PL,,biomass wood CHP,public,2021,2021,TRUE,270.0
PL biomass wood CHP public 2022,PL,,biomass wood CHP,public,2022,2022,TRUE,260.0
PL biomass wood CHP public 2023,PL,,biomass wood CHP,public,2023,2023,TRUE,260.0
PL biomass wood heat to biomass and biogas bus 2020,PL,,biomass wood heat,to biomass and biogas bus,2020,2020,TRUE,1820.0
PL biomass wood heat to biomass and biogas bus 2021,PL,,biomass wood heat,to biomass and biogas bus,2021,2021,TRUE,2380.0
PL biomass wood heat to biomass and biogas bus 2022,PL,,biomass wood heat,to biomass and biogas bus,2022,2022,TRUE,2470.0
PL biomass wood heat to biomass and biogas bus 2023,PL,,biomass wood heat,to biomass and biogas bus,2023,2023,TRUE,2470.0
PL biomass wood power public 2020,PL,,biomass wood power,public,2020,2020,TRUE,430.0
PL biomass wood power public 2021,PL,,biomass wood power,public,2021,2021,TRUE,430.0
PL biomass wood power public 2022,PL,,biomass wood power,public,2022,2022,TRUE,430.0
PL biomass wood power public 2023,PL,,biomass wood power,public,2023,2023,TRUE,400.0
PL biomass wood supply 2020,PL,,biomass wood supply,,2020,2020,TRUE,inf
PL biomass wood supply 2021,PL,,biomass wood supply,,2021,2021,TRUE,inf
PL biomass wood supply 2022,PL,,biomass wood supply,,2022,2022,TRUE,inf
PL biomass wood supply 2023,PL,,biomass wood supply,,2023,2023,TRUE,inf
PL centralised other heating from biomass and biogas bus 2020,PL,,centralised other heating,from biomass and biogas bus,2020,2020,TRUE,inf
PL centralised other heating from biomass and biogas bus 2021,PL,,centralised other heating,from biomass and biogas bus,2021,2021,TRUE,inf
PL centralised other heating from biomass and biogas bus 2022,PL,,centralised other heating,from biomass and biogas bus,2022,2022,TRUE,inf
PL centralised other heating from biomass and biogas bus 2023,PL,,centralised other heating,from biomass and biogas bus,2023,2023,TRUE,inf
PL centralised other heating from hard coal bus 2020,PL,,centralised other heating,from hard coal bus,2020,2020,TRUE,inf
PL centralised other heating from hard coal bus 2021,PL,,centralised other heating,from hard coal bus,2021,2021,TRUE,inf
PL centralised other heating from hard coal bus 2022,PL,,centralised other heating,from hard coal bus,2022,2022,TRUE,inf
PL centralised other heating from hard coal bus 2023,PL,,centralised other heating,from hard coal bus,2023,2023,TRUE,inf
PL centralised other heating from natural gas bus 2020,PL,,centralised other heating,from natural gas bus,2020,2020,TRUE,inf
PL centralised other heating from natural gas bus 2021,PL,,centralised other heating,from natural gas bus,2021,2021,TRUE,inf
